Carrier,Tons,Commodity,Customers,Date
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),3/14/2017
CSL,22529,SLAG,CRISTAL,3/15/2017
LLT,26000,ORE,Algoma Steel,3/16/2017
CSL,27896,GYPSUM,CertainTeed,3/16/2017
ALGOMA,27200,Clinker,St Mary's Cement,3/19/2017
CSL,29333,SALT,Windsor Salt,3/20/2017
LLT,18000,SALT,Cargill,3/21/2017
CSL,28999,SALT,Windsor Salt,3/22/2017
LLT,18000,SALT,Cargill,3/23/2017
ALGOMA,37250,ORE,Cliffs Inc.,3/23/2017
ALGOMA,28500,GRAIN,Richardson,3/23/2017
ALGOMA,29704,ORE,USS,3/23/2017
ALGOMA,29500,ORE,Arcelor Mittal (Dofasco),3/23/2017
ALGOMA,29500,GRAIN,G3,3/23/2017
CSL,26203,COKE,Koch Carbon,3/23/2017
ALGOMA,27000,COAL,Arcelor Mittal (Dofasco),3/24/2017
CSL,29106,ORE,USS,3/24/2017
LLT,22000,COAL,Essroc,3/24/2017
LLT,24000,COAL,Essar,3/24/2017
ALGOMA,29650,GRAIN,Richardson,3/24/2017
CSL,27102,GRAIN,Viterra,3/25/2017
ALGOMA,26500,GRAIN,Cargill,3/25/2017
CSL,28920,ORE,USS,3/25/2017
CSL,29197,GRAIN,ADM AGRI,3/25/2017
ALGOMA,27200,ORE,Arcelor Mittal (Dofasco),3/25/2017
CSL,30870,ORE,USS,3/25/2017
CSL,29211,GRAIN,Richardson,3/25/2017
LLT,24000,GRAIN,Grain customer,3/26/2017
CSL,25675,SALT,Windsor Salt,3/26/2017
LLT,18000,STONE,South West Sales,3/26/2017
ALGOMA,27900,GRAIN,Richardson,3/26/2017
ALGOMA,28300,ORE,USS,3/26/2017
LLT,22000,STONE,SWS,3/27/2017
ALGOMA,27900,SLAG,LafargeHolcim,3/27/2017
CSL,31629,ORE,Stelco,3/28/2017
LLT,26000,ORE,Algoma Steel,3/28/2017
ALGOMA,28800,ORE,Arcelor Mittal (Dofasco),3/28/2017
CSL,30309,ORE,USS,3/28/2017
LLT,18000,GRAIN,Cargill,3/29/2017
LLT,22000,SALT,Cargill,3/29/2017
LLT,24000,COAL,Essar,3/29/2017
LLT,26000,ORE,Algoma Steel,3/29/2017
CSL,24957,ORE,USS,3/30/2017
ALGOMA,28700,SALT,Sifto,3/30/2017
ALGOMA,28000,ORE,Cliffs Inc.,3/30/2017
CSL,29209,ORE,USS,3/30/2017
CSL,30346,ORE,USS,3/31/2017
LLT,18000,SALT,Windsor Salt,3/31/2017
ALGOMA,29500,GRAIN,P & H,4/1/2017
ALGOMA,27500,SALT,Sifto,4/1/2017
LLT,25200,GRAIN,Richardson,4/1/2017
ALGOMA,27000,COAL,Arcelor Mittal (Dofasco),4/1/2017
CSL,25822,ORE,USS,4/1/2017
LLT,22000,SALT,Cargill,4/1/2017
LLT,18000,COKE,Essar,4/2/2017
ALGOMA,27200,Clinker,St Mary's Cement,4/2/2017
LLT,24000,GRAIN,Hansen Mueller,4/2/2017
ALGOMA,27500,ORE,USS,4/2/2017
ALGOMA,28500,ORE,Arcelor Mittal (Sidbec),4/3/2017
CSL,20271,GRAIN,ADM Milling,4/3/2017
LLT,26000,ORE,Algoma Steel,4/3/2017
CSL,30611,SALT,Windsor Salt,4/3/2017
CSL,28802,GRAIN,Viterra,4/4/2017
CSL,30955,GRAIN,Viterra,4/4/2017
ALGOMA,27500,ORE,USS,4/4/2017
ALGOMA,27900,ORE,USS,4/4/2017
CSL,31003,ORE,USS,4/5/2017
LLT,18000,SALT,Sifto,4/5/2017
ALGOMA,29704,GRAIN,Richardson,4/5/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),4/5/2017
ALGOMA,28800,SALT,Sifto,4/5/2017
LLT,22000,SALT,Windsor Salt,4/5/2017
ALGOMA,29500,GRAIN,Richardson,4/5/2017
CSL,31725,SALT,Windsor Salt,4/6/2017
LLT,22000,COAL,Unknown Customer,4/6/2017
CSL,23173,SALT,Windsor Salt,4/6/2017
ALGOMA,27500,SALT,Sifto,4/7/2017
LLT,18000,STONE,South West Sales,4/7/2017
ALGOMA,29650,ORE,Arcelor Mittal (Dofasco),4/7/2017
LLT,26000,ORE,Algoma Steel,4/7/2017
ALGOMA,28300,ORE,Arcelor Mittal (Dofasco),4/7/2017
CSL,28671,GRAIN,Viterra,4/7/2017
ALGOMA,27200,SALT,Sifto,4/7/2017
LLT,24000,GRAIN,Grain customer,4/8/2017
CSL,32363,ORE,Stelco,4/8/2017
CSL,30223,MILLSCALE,IRON DYNAMICS_CA,4/8/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),4/8/2017
LLT,26000,ORE,Algoma Steel,4/8/2017
CSL,30897,GRAIN,Richardson,4/8/2017
LLT,18000,STONE,SWS,4/9/2017
ALGOMA,29500,COAL,Koch Carbon,4/9/2017
ALGOMA,28500,ORE,Arcelor Mittal (Dofasco),4/9/2017
ALGOMA,28000,SALT,Sifto,4/9/2017
LLT,24000,COAL,Essar,4/10/2017
ALGOMA,28800,ORE,Cliffs Inc.,4/10/2017
LLT,26000,STONE,LafargeHolcim,4/11/2017
LLT,18000,SALT,Cargill,4/11/2017
LLT,25200,COAL,Essar,4/11/2017
CSL,24958,GRAIN,Cargill,4/11/2017
LLT,22000,SALT,Sifto,4/11/2017
CSL,32486,ORE,Stelco,4/12/2017
LLT,22000,COAL,Essar,4/12/2017
LLT US,25000,COAL,LLT US Unknown Customer,4/12/2017
ALGOMA,29650,GRAIN,Richardson,4/12/2017
CSL,30295,ORE,USS,4/12/2017
ALGOMA,27900,SALT,Sifto,4/12/2017
ALGOMA,27500,SALT,Sifto,4/12/2017
ALGOMA,27200,SALT,Sifto,4/12/2017
ALGOMA,28300,GRAIN,Cargill,4/13/2017
CSL,25531,SALT,Windsor Salt,4/13/2017
LLT,22000,GRAIN,Richardson,4/13/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),4/13/2017
ALGOMA,27500,SALT,Sifto,4/14/2017
CSL,29723,GRAIN,ADM AGRI,4/14/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),4/14/2017
ALGOMA,27000,COAL,Arcelor Mittal (Dofasco),4/14/2017
CSL,26511,SALT,Windsor Salt,4/14/2017
LLT,24000,STONE,LafargeHolcim,4/14/2017
LLT,22000,STONE,SWS,4/15/2017
LLT,26000,ORE,Algoma Steel,4/15/2017
LLT,18000,SALT,Cargill,4/15/2017
CSL,25655,ORE,USS,4/15/2017
CSL,26789,COKE,Koch Carbon,4/15/2017
CSL,24985,ORE,Stelco,4/15/2017
LLT,22000,STONE,Ontario Trap Rock,4/16/2017
ALGOMA,27900,COAL,St Mary's Cement,4/16/2017
LLT US,25000,COAL,LLT US Unknown Customer,4/16/2017
ALGOMA,18000,SALT,Sifto,4/16/2017
LLT,24000,STONE,Ontario Trap Rock,4/17/2017
LLT,26000,ORE,Algoma Steel,4/17/2017
ALGOMA,27900,COAL,Arcelor Mittal (Dofasco),4/17/2017
ALGOMA,28000,SLAG,CRH,4/17/2017
LLT,22000,STONE,SWS,4/17/2017
CSL,27138,GRAIN,Viterra,4/17/2017
ALGOMA,28500,GRAIN,Richardson,4/17/2017
ALGOMA,27200,STONE,LafargeHolcim,4/18/2017
LLT,22000,SALT,Cargill,4/18/2017
CSL,25488,SALT,Windsor Salt,4/18/2017
CSL,20043,GRAIN,ADM Milling,4/18/2017
CSL,30273,GRAIN,G3,4/18/2017
LLT,26000,ORE,Algoma Steel,4/19/2017
ALGOMA,29704,ORE,Arcelor Mittal (Dofasco),4/19/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),4/19/2017
CSL,31004,ORE,USS,4/19/2017
LLT US,25000,COAL,LLT US Unknown Customer,4/19/2017
ALGOMA,18000,STONE,LafargeHolcim,4/19/2017
CSL,30575,COAL,Stelco,4/19/2017
LLT,24000,COAL,Essar,4/19/2017
ALGOMA,27500,ORE,USS,4/20/2017
ALGOMA,29500,STONE,Arcelor Mittal (QCM),4/20/2017
LLT,26000,STONE,South West Sales,4/20/2017
LLT,18000,SLAG,Essroc,4/20/2017
LLT,22000,COAL,Essar,4/20/2017
LLT,22000,STONE,LafargeHolcim,4/20/2017
ALGOMA,27900,SLAG,St Mary's Cement,4/20/2017
CSL,24260,SALT,Windsor Salt,4/20/2017
ALGOMA,28100,ORE,Arcelor Mittal (Dofasco),4/21/2017
ALGOMA,27900,COAL,CRH,4/21/2017
ALGOMA,28800,SALT,Sifto,4/21/2017
CSL,35220,ILMENITE ORE,QIT,4/21/2017
CSL,30792,ORE,Stelco,4/21/2017
ALGOMA,27200,SALT,Sifto,4/21/2017
ALGOMA,18000,POTASH,Potash Corp,4/22/2017
LLT,26000,ORE,Algoma Steel,4/22/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),4/22/2017
ALGOMA,27500,SALT,Sifto,4/22/2017
ALGOMA,27900,COAL,Arcelor Mittal (Dofasco),4/22/2017
CSL,29030,STONE,LafargeHolcim,4/23/2017
ALGOMA,28500,SALT,Sifto,4/23/2017
LLT,24000,STONE,LafargeHolcim,4/23/2017
ALGOMA,27200,STONE,Ontario Trap Rock,4/23/2017
LLT,22000,SALT,Cargill,4/23/2017
ALGOMA,28000,STONE,Ontario Trap Rock,4/23/2017
ALGOMA,29704,GRAIN,G3,4/23/2017
LLT,18000,GRAIN,Unknown Customer,4/24/2017
CSL,24574,SALT,Windsor Salt,4/24/2017
ALGOMA,29500,ORE,Arcelor Mittal (Sidbec),4/24/2017
LLT US,25000,ORE,LLT US Unknown Customer,4/24/2017
CSL,20322,COAL,Stelco,4/24/2017
LLT,22000,COAL,Essar,4/24/2017
CSL,25011,SALT,Windsor Salt,4/24/2017
CSL,27741,GRAIN,ADM AGRI,4/25/2017
CSL,30641,GRAIN,Viterra,4/25/2017
CSL,20588,GRAIN,P & H,4/25/2017
ALGOMA,28300,ORE,Arcelor Mittal (Dofasco),4/25/2017
ALGOMA,29650,ORE,Arcelor Mittal (Dofasco),4/26/2017
CSL,30549,GRAIN,Viterra,4/26/2017
CSL,35418,STONE,Great Eastern,4/26/2017
LLT,22000,COKE,Essar,4/26/2017
LLT,24000,COAL,Essar,4/26/2017
ALGOMA,27900,COAL,Arcelor Mittal (Dofasco),4/26/2017
LLT US,25000,ORE,LLT US Unknown Customer,4/26/2017
ALGOMA,28100,ORE,Arcelor Mittal (Dofasco),4/26/2017
CSL,35182,ILMENITE ORE,QIT,4/27/2017
ALGOMA,27900,GRAIN,Grain customer,4/27/2017
ALGOMA,27000,COAL,Teck,4/27/2017
CSL,30487,SALT,Windsor Salt,4/27/2017
ALGOMA,29500,ORE,Arcelor Mittal (USA),4/27/2017
LLT,22000,GRAIN,Richardson,4/27/2017
LLT,18000,SALT,Cargill,4/27/2017
LLT US,25000,COAL,LLT US Unknown Customer,4/27/2017
ALGOMA,27500,ORE,Arcelor Mittal (Sidbec),4/27/2017
ALGOMA,27500,SALT,Sifto,4/27/2017
ALGOMA,27200,ORE,USS,4/28/2017
LLT,26000,ORE,Algoma Steel,4/28/2017
LLT,22000,STONE,Essar,4/28/2017
ALGOMA,28800,SALT,Sifto,4/28/2017
ALGOMA,18000,STONE,South West Sales,4/28/2017
CSL,19914,GRAIN,ADM Milling,4/28/2017
LLT,22000,GRAIN,ADM Agri,4/29/2017
LLT,24000,STONE,LafargeHolcim,4/29/2017
LLT,26000,ORE,Algoma Steel,4/29/2017
ALGOMA,28500,GYPSUM,US Gypsum,4/29/2017
LLT,25200,GRAIN,Richardson,4/29/2017
CSL,31729,ORE,Stelco,4/29/2017
LLT,18000,STONE,CRH,4/29/2017
CSL,34554,SALT,Windsor Salt,4/29/2017
LLT,22000,STONE,Essar,4/30/2017
CSL,24849,GRAIN,Viterra,4/30/2017
LLT,22000,COAL,Essar,4/30/2017
CSL,25165,SALT,Windsor Salt,4/30/2017
ALGOMA,27900,COAL,Essroc,4/30/2017
ALGOMA,29650,GRAIN,Cargill,4/30/2017
ALGOMA,18000,STONE,LafargeHolcim,5/1/2017
CSL,30059,COAL,Stelco,5/1/2017
ALGOMA,28000,SLAG,CRH,5/1/2017
CSL,29182,ORE,USS,5/1/2017
ALGOMA,27500,ORE,Arcelor Mittal (Sidbec),5/1/2017
CSL,35286,GYPSUM,CertainTeed,5/1/2017
ALGOMA,28300,GRAIN,Richardson,5/1/2017
CSL,26214,GRAIN,Viterra,5/1/2017
LLT,18000,SALT,Cargill,5/1/2017
LLT,22000,STONE,LafargeHolcim,5/1/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),5/2/2017
LLT,22000,SLAG,LafargeHolcim,5/2/2017
LLT,24000,COAL,Essar,5/2/2017
LLT US,25000,ORE,LLT US Unknown Customer,5/2/2017
ALGOMA,27000,SALT,Sifto,5/3/2017
LLT,26000,ORE,Algoma Steel,5/3/2017
ALGOMA,18000,POTASH,Mosaic,5/3/2017
LLT,22000,SALT,Windsor Salt,5/3/2017
ALGOMA,27500,STONE,Ontario Trap Rock,5/3/2017
CSL,29742,STONE,LafargeHolcim,5/3/2017
ALGOMA,28800,ORE,USS,5/3/2017
CSL,30892,ORE,USS,5/4/2017
CSL,36246,ILMENITE ORE,QIT,5/4/2017
CSL,25755,SALT,Windsor Salt,5/4/2017
ALGOMA,28500,SLAG,Arcelor Mittal (QCM),5/5/2017
ALGOMA,27900,STONE,USS,5/5/2017
ALGOMA,29500,GRAIN,P & H,5/5/2017
LLT,26000,ORE,Algoma Steel,5/6/2017
LLT,24000,STONE,Ontario Trap Rock,5/6/2017
ALGOMA,27500,COAL,Arcelor Mittal (Dofasco),5/6/2017
CSL,29247,COAL,Stelco,5/6/2017
CSL,28921,SALT,Windsor Salt,5/6/2017
ALGOMA,28100,ORE,Arcelor Mittal (Dofasco),5/6/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),5/6/2017
ALGOMA,27900,SALT,Sifto,5/6/2017
CSL,31821,ORE,Stelco,5/6/2017
ALGOMA,29704,ORE,Arcelor Mittal (Sidbec),5/6/2017
LLT,22000,STONE,SWS,5/7/2017
ALGOMA,28500,ORE,Arcelor Mittal (Dofasco),5/7/2017
LLT,26000,ORE,Algoma Steel,5/7/2017
ALGOMA,28000,SALT,Sifto,5/7/2017
CSL,26704,STONE,SWS,5/7/2017
CSL,30259,COAL,Essroc,5/7/2017
CSL,29662,GRAIN,ADM AGRI,5/7/2017
LLT,18000,STONE,CRH,5/7/2017
ALGOMA,27000,SALT,Sifto,5/8/2017
LLT,26000,ORE,Algoma Steel,5/8/2017
CSL,28991,SALT,Windsor Salt,5/9/2017
ALGOMA,27200,Clinker,St Mary's Cement,5/9/2017
ALGOMA,27500,SALT,Sifto,5/9/2017
LLT,22000,GRAIN,Kraft,5/9/2017
CSL,31093,ORE,Stelco,5/9/2017
CSL,30675,GRAIN,Richardson,5/10/2017
LLT,24000,GRAIN,ADM Agri,5/10/2017
CSL,36108,ILMENITE ORE,QIT,5/10/2017
LLT,22000,COAL,Essar,5/10/2017
CSL,28711,GRAIN,G3,5/10/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),5/10/2017
ALGOMA,28800,ORE,Arcelor Mittal (USA),5/10/2017
CSL,25747,SALT,Windsor Salt,5/10/2017
LLT,18000,STONE,CRH,5/10/2017
CSL,27392,COAL,Stelco,5/11/2017
ALGOMA,18000,SALT,Sifto,5/11/2017
CSL,25869,COKE,Koch Carbon,5/11/2017
LLT,22000,GRAIN,Viterra,5/11/2017
CSL,19999,GRAIN,ADM Milling,5/11/2017
ALGOMA,27900,STONE,Ontario Trap Rock,5/12/2017
CSL,31981,ORE,Stelco,5/12/2017
LLT,18000,STONE,CRH,5/12/2017
CSL,30161,GRAIN,Viterra,5/12/2017
ALGOMA,28500,ORE,Arcelor Mittal (Sidbec),5/12/2017
ALGOMA,27900,ORE,USS,5/12/2017
ALGOMA,27500,SLAG,St Mary's Cement,5/12/2017
ALGOMA,28300,ORE,Arcelor Mittal (Dofasco),5/12/2017
ALGOMA,29650,ORE,Arcelor Mittal (Dofasco),5/13/2017
ALGOMA,27500,STONE,LafargeHolcim,5/13/2017
CSL,28344,SALT,Windsor Salt,5/13/2017
CSL,25824,ORE,USS,5/13/2017
LLT,22000,GRAIN,Ceres Global,5/13/2017
LLT,18000,STONE,CRH,5/13/2017
ALGOMA,27000,GRAIN,Richardson,5/14/2017
LLT,26000,ORE,Algoma Steel,5/14/2017
LLT,22000,COAL,Essar,5/14/2017
ALGOMA,28000,COAL,Arcelor Mittal (Dofasco),5/14/2017
CSL,25864,SALT,Windsor Salt,5/15/2017
ALGOMA,28500,ORE,Arcelor Mittal (Sidbec),5/15/2017
LLT,18000,STONE,CRH,5/15/2017
CSL,36294,ILMENITE ORE,QIT,5/15/2017
ALGOMA,18000,SALT,Sifto,5/15/2017
ALGOMA,27200,SALT,Sifto,5/15/2017
ALGOMA,27500,STONE,LafargeHolcim,5/16/2017
ALGOMA,28100,GRAIN,Cargill,5/16/2017
CSL,29414,STONE,LafargeHolcim,5/16/2017
CSL,10503,SLAG,CRISTAL,5/16/2017
