Date,Tons
3/14/2017,37250
3/15/2017,22529
3/16/2017,26000
3/16/2017,27896
3/19/2017,27200
3/20/2017,29333
3/21/2017,18000
3/22/2017,28999
3/23/2017,18000
3/23/2017,37250
3/23/2017,28500
3/23/2017,29704
3/23/2017,29500
3/23/2017,29500
3/23/2017,26203
3/24/2017,27000
3/24/2017,29106
3/24/2017,22000
3/24/2017,24000
3/24/2017,29650
3/25/2017,27102
3/25/2017,26500
3/25/2017,28920
3/25/2017,29197
3/25/2017,27200
3/25/2017,30870
3/25/2017,29211
3/26/2017,24000
3/26/2017,25675
3/26/2017,18000
3/26/2017,27900
3/26/2017,28300
3/27/2017,22000
3/27/2017,27900
3/28/2017,31629
3/28/2017,26000
3/28/2017,28800
3/28/2017,30309
3/29/2017,18000
3/29/2017,22000
3/29/2017,24000
3/29/2017,26000
3/30/2017,24957
3/30/2017,28700
3/30/2017,28000
3/30/2017,29209
3/31/2017,30346
3/31/2017,18000
4/1/2017,29500
4/1/2017,27500
4/1/2017,25200
4/1/2017,27000
4/1/2017,25822
4/1/2017,22000
4/2/2017,18000
4/2/2017,27200
4/2/2017,24000
4/2/2017,27500
4/3/2017,28500
4/3/2017,20271
4/3/2017,26000
4/3/2017,30611
4/4/2017,28802
4/4/2017,30955
4/4/2017,27500
4/4/2017,27900
4/5/2017,31003
4/5/2017,18000
4/5/2017,29704
4/5/2017,37250
4/5/2017,28800
4/5/2017,22000
4/5/2017,29500
4/6/2017,31725
4/6/2017,22000
4/6/2017,23173
4/7/2017,27500
4/7/2017,18000
4/7/2017,29650
4/7/2017,26000
4/7/2017,28300
4/7/2017,28671
4/7/2017,27200
4/8/2017,24000
4/8/2017,32363
4/8/2017,30223
4/8/2017,27500
4/8/2017,26000
4/8/2017,30897
4/9/2017,18000
4/9/2017,29500
4/9/2017,28500
4/9/2017,28000
4/10/2017,24000
4/10/2017,28800
4/11/2017,26000
4/11/2017,18000
4/11/2017,25200
4/11/2017,24958
4/11/2017,22000
4/12/2017,32486
4/12/2017,22000
4/12/2017,25000
4/12/2017,29650
4/12/2017,30295
4/12/2017,27900
4/12/2017,27500
4/12/2017,27200
4/13/2017,28300
4/13/2017,25531
4/13/2017,22000
4/13/2017,27500
4/14/2017,27500
4/14/2017,29723
4/14/2017,37250
4/14/2017,27000
4/14/2017,26511
4/14/2017,24000
4/15/2017,22000
4/15/2017,26000
4/15/2017,18000
4/15/2017,25655
4/15/2017,26789
4/15/2017,24985
4/16/2017,22000
4/16/2017,27900
4/16/2017,25000
4/16/2017,18000
4/17/2017,24000
4/17/2017,26000
4/17/2017,27900
4/17/2017,28000
4/17/2017,22000
4/17/2017,27138
4/17/2017,28500
4/18/2017,27200
4/18/2017,22000
4/18/2017,25488
4/18/2017,20043
4/18/2017,30273
4/19/2017,26000
4/19/2017,29704
4/19/2017,37250
4/19/2017,31004
4/19/2017,25000
4/19/2017,18000
4/19/2017,30575
4/19/2017,24000
4/20/2017,27500
4/20/2017,29500
4/20/2017,26000
4/20/2017,18000
4/20/2017,22000
4/20/2017,22000
4/20/2017,27900
4/20/2017,24260
4/21/2017,28100
4/21/2017,27900
4/21/2017,28800
4/21/2017,35220
4/21/2017,30792
4/21/2017,27200
4/22/2017,18000
4/22/2017,26000
4/22/2017,27500
4/22/2017,27500
4/22/2017,27900
4/23/2017,29030
4/23/2017,28500
4/23/2017,24000
4/23/2017,27200
4/23/2017,22000
4/23/2017,28000
4/23/2017,29704
4/24/2017,18000
4/24/2017,24574
4/24/2017,29500
4/24/2017,25000
4/24/2017,20322
4/24/2017,22000
4/24/2017,25011
4/25/2017,27741
4/25/2017,30641
4/25/2017,20588
4/25/2017,28300
4/26/2017,29650
4/26/2017,30549
4/26/2017,35418
4/26/2017,22000
4/26/2017,24000
4/26/2017,27900
4/26/2017,25000
4/26/2017,28100
4/27/2017,35182
4/27/2017,27900
4/27/2017,27000
4/27/2017,30487
4/27/2017,29500
4/27/2017,22000
4/27/2017,18000
4/27/2017,25000
4/27/2017,27500
4/27/2017,27500
4/28/2017,27200
4/28/2017,26000
4/28/2017,22000
4/28/2017,28800
4/28/2017,18000
4/28/2017,19914
4/29/2017,22000
4/29/2017,24000
4/29/2017,26000
4/29/2017,28500
4/29/2017,25200
4/29/2017,31729
4/29/2017,18000
4/29/2017,34554
4/30/2017,22000
4/30/2017,24849
4/30/2017,22000
4/30/2017,25165
4/30/2017,27900
4/30/2017,29650
5/1/2017,18000
5/1/2017,30059
5/1/2017,28000
5/1/2017,29182
5/1/2017,27500
5/1/2017,35286
5/1/2017,28300
5/1/2017,26214
5/1/2017,18000
5/1/2017,22000
5/2/2017,27500
5/2/2017,22000
5/2/2017,24000
5/2/2017,25000
5/3/2017,27000
5/3/2017,26000
5/3/2017,18000
5/3/2017,22000
5/3/2017,27500
5/3/2017,29742
5/3/2017,28800
5/4/2017,30892
5/4/2017,36246
5/4/2017,25755
5/5/2017,28500
5/5/2017,27900
5/5/2017,29500
5/6/2017,26000
5/6/2017,24000
5/6/2017,27500
5/6/2017,29247
5/6/2017,28921
5/6/2017,28100
5/6/2017,27500
5/6/2017,27900
5/6/2017,31821
5/6/2017,29704
5/7/2017,22000
5/7/2017,28500
5/7/2017,26000
5/7/2017,28000
5/7/2017,26704
5/7/2017,30259
5/7/2017,29662
5/7/2017,18000
